Customer ID,Country,Total Purchases,Sign-up Date
1015,Palestinian Territory,12,2022-04-03 21:42:29.000000000
1029,China,47,2016-01-08 03:13:12.000000000
1025,Nigeria,10,2023-02-20 19:06:14.000000000
1006,United Kingdom,48,2022-05-26 12:46:35.000000000
1024,Philippines,16,2016-12-13 03:44:04.000000000
1033,Indonesia,20,2016-05-26 22:29:44.000000000
1017,Paraguay,14,2022-09-08 16:30:56.000000000
1035,Honduras,15,2021-04-14 18:55:03.000000000
1029,Argentina,14,2020-11-01 10:21:03.000000000
1014,China,3,2020-04-14 00:51:05.000000000
1017,Peru,31,2023-01-07 16:20:18.000000000
1033,Russia,13,2016-08-16 18:47:43.000000000
1018,Macedonia,30,2017-03-01 23:49:09.000000000
1017,Poland,43,2018-11-14 18:47:32.000000000
1000,Indonesia,7,2023-11-05 04:59:29.000000000
1026,Serbia,35,2020-04-02 13:55:13.000000000
1010,Iran,12,2019-04-27 13:07:33.000000000
1002,Syria,45,2022-09-30 01:55:04.000000000
1010,Philippines,29,2022-06-20 01:25:55.000000000
1004,Dominican Republic,15,2019-07-04 11:11:43.000000000
1023,China,26,2018-12-25 07:00:32.000000000
1018,Russia,5,2020-09-29 15:13:23.000000000
1030,Georgia,43,2017-01-09 15:41:48.000000000
1011,Indonesia,28,2015-06-23 21:28:17.000000000
1025,United States,33,2019-11-15 06:48:51.000000000
1011,Portugal,11,2018-11-22 18:17:52.000000000
1025,Brazil,34,2019-04-26 02:37:16.000000000
1019,Brazil,4,2022-12-04 16:38:07.000000000
1009,Lebanon,15,2018-08-09 09:08:47.000000000
1000,Jamaica,3,2019-01-02 02:54:55.000000000
1032,Egypt,24,2018-03-06 03:30:05.000000000
1025,China,12,2017-07-19 23:44:55.000000000
1011,United States,13,2019-09-15 05:22:50.000000000
1033,Azerbaijan,1,2016-04-20 14:46:40.000000000
1011,Russia,26,2017-12-07 08:03:34.000000000
1011,China,12,2015-07-08 13:46:11.000000000
1026,Angola,1,2016-12-13 15:42:47.000000000
1025,Russia,41,2017-09-01 10:12:41.000000000
1015,Russia,47,2018-01-18 09:30:47.000000000
1013,Indonesia,19,2015-04-03 05:42:24.000000000
1016,Colombia,35,2021-02-06 01:56:09.000000000
1012,China,40,2023-03-31 08:00:14.000000000
1034,Japan,41,2021-08-22 22:16:23.000000000
1004,China,8,2023-01-07 05:26:24.000000000
1034,China,16,2015-07-30 21:34:35.000000000
1028,Nigeria,32,2017-12-11 03:36:31.000000000
1011,Indonesia,11,2016-06-07 19:26:37.000000000
1011,Guatemala,24,2021-04-24 07:35:17.000000000
1014,Brazil,45,2020-08-20 04:01:37.000000000
1030,Republic of the Congo,21,2016-03-03 02:30:01.000000000
1021,Brazil,12,2021-02-14 04:34:51.000000000
1024,Bulgaria,31,2018-07-15 11:22:30.000000000
1011,Greece,16,2022-08-02 05:30:14.000000000
1028,Russia,1,2015-10-08 23:23:59.000000000
1000,Indonesia,18,2023-10-24 10:40:41.000000000
1020,Lebanon,46,2024-01-27 00:36:20.000000000
1025,China,8,2018-05-16 18:31:34.000000000
1024,China,35,2019-05-02 22:37:24.000000000
1001,Peru,35,2023-02-12 01:34:01.000000000
1010,Czech Republic,9,2017-12-04 09:18:22.000000000
1029,China,44,2021-09-24 07:26:41.000000000
1008,France,27,2017-11-15 19:42:48.000000000
1014,Philippines,47,2023-05-10 22:53:55.000000000
1000,Madagascar,28,2016-11-07 02:27:16.000000000
1019,Madagascar,7,2021-06-27 23:45:52.000000000
1026,France,34,2017-05-03 00:26:29.000000000
1001,Russia,45,2017-08-06 09:46:41.000000000
1013,China,47,2018-03-31 04:31:27.000000000
1029,Laos,6,2018-06-12 12:50:35.000000000
1019,Japan,43,2022-07-15 10:21:19.000000000
1009,Brazil,42,2017-04-23 20:58:15.000000000
1007,Russia,10,2016-02-10 04:20:23.000000000
1028,China,21,2019-11-13 02:16:43.000000000
1003,Indonesia,1,2020-02-13 04:50:04.000000000
1032,Russia,40,2023-03-28 10:09:32.000000000
1030,Indonesia,36,2022-08-23 07:45:59.000000000
1014,Sweden,16,2015-10-06 10:14:42.000000000
1005,Poland,3,2021-01-12 01:23:50.000000000
1016,Sweden,47,2017-05-10 05:49:34.000000000
1015,China,31,2022-06-18 15:46:54.000000000
1018,China,1,2018-06-18 04:14:11.000000000
1012,France,7,2022-04-18 00:59:16.000000000
1021,France,8,2019-10-17 16:39:20.000000000
1019,Slovenia,43,2023-07-08 13:10:54.000000000
1007,Indonesia,29,2023-11-25 17:46:32.000000000
1003,Indonesia,25,2019-03-07 23:30:26.000000000
1016,Peru,42,2021-09-01 20:45:15.000000000
1034,Bolivia,3,2016-11-17 16:05:09.000000000
1005,Indonesia,40,2016-08-20 00:07:02.000000000
1029,China,10,2023-02-28 01:35:20.000000000
1014,China,37,2019-11-21 06:33:00.000000000
1015,China,8,2021-07-29 17:42:24.000000000
1015,Argentina,45,2019-07-27 02:56:14.000000000
1016,Brazil,27,2021-01-09 18:33:36.000000000
1007,Syria,1,2023-07-28 21:28:27.000000000
1023,Dominican Republic,20,2017-04-13 07:53:47.000000000
1035,China,38,2017-01-24 15:24:21.000000000
1026,Argentina,42,2020-10-19 17:01:25.000000000
1017,Finland,24,2021-03-02 10:31:54.000000000
1023,Indonesia,23,2019-02-15 01:54:36.000000000
1018,Afghanistan,3,2018-02-28 10:53:30.000000000
1010,Morocco,24,2018-12-29 11:13:37.000000000
1022,Portugal,45,2022-09-30 12:41:45.000000000
1023,Indonesia,12,2019-02-05 18:49:18.000000000
1017,Yemen,13,2016-03-05 16:44:07.000000000
1029,China,4,2019-04-04 10:02:42.000000000
1008,Ukraine,37,2020-07-12 16:04:22.000000000
1016,China,24,2017-11-08 22:29:39.000000000
1011,Czech Republic,37,2024-02-29 22:35:54.000000000
1012,Azerbaijan,30,2023-09-20 20:08:12.000000000
1014,Argentina,10,2021-08-08 09:29:52.000000000
1000,Venezuela,31,2020-11-03 13:10:26.000000000
1018,China,9,2017-03-09 21:50:35.000000000
1004,Somalia,39,2019-01-29 14:31:45.000000000
1011,Ukraine,23,2021-01-08 09:22:41.000000000
1033,France,30,2023-01-01 01:06:31.000000000
1033,Norway,47,2020-11-24 13:14:46.000000000
1029,Democratic Republic of the Congo,2,2018-05-08 01:42:03.000000000
1017,Portugal,32,2022-03-28 06:12:59.000000000
1023,Brazil,21,2015-12-11 14:51:21.000000000
1029,Guatemala,41,2017-05-29 09:02:53.000000000
1034,Russia,7,2023-09-05 21:35:15.000000000
1008,France,19,2017-07-11 08:16:08.000000000
1017,Sweden,2,2018-03-29 12:31:16.000000000
1032,Philippines,34,2017-09-01 23:42:32.000000000
1034,Ivory Coast,17,2021-04-17 05:04:04.000000000
1008,Mongolia,28,2021-09-19 09:27:41.000000000
1001,Mauritius,15,2019-12-15 23:25:05.000000000
1004,Ireland,27,2018-03-16 11:35:02.000000000
1018,Indonesia,16,2018-05-01 03:26:00.000000000
1025,China,29,2017-10-06 02:43:13.000000000
1001,China,40,2022-02-07 20:52:30.000000000
1031,Ireland,31,2018-05-24 19:19:29.000000000
1009,Nigeria,10,2017-09-07 15:02:25.000000000
1016,China,4,2023-06-27 18:20:21.000000000
1029,China,46,2017-01-26 00:53:19.000000000
1019,Poland,35,2021-03-09 00:13:13.000000000
1011,Russia,39,2021-01-15 17:42:43.000000000
1000,Argentina,11,2019-05-27 19:16:12.000000000
1032,Yemen,15,2018-10-10 20:28:30.000000000
1002,Canada,36,2020-05-25 08:03:32.000000000
1013,Indonesia,41,2016-02-27 16:36:48.000000000
1016,Netherlands,30,2022-12-27 10:54:56.000000000
1003,Philippines,14,2017-12-25 10:51:25.000000000
1018,Poland,39,2021-07-27 07:55:59.000000000
1027,Swaziland,4,2016-12-08 17:22:28.000000000
1025,Slovenia,6,2018-09-25 08:00:49.000000000
1011,Turkmenistan,9,2022-05-18 01:12:14.000000000
1018,China,35,2023-06-12 05:17:27.000000000
1013,Peru,2,2021-10-25 10:13:06.000000000
1000,Kyrgyzstan,11,2015-07-30 20:25:06.000000000
1002,Indonesia,45,2017-03-14 09:50:16.000000000
1033,Russia,34,2018-01-06 11:32:00.000000000
1004,China,47,2021-07-17 18:15:10.000000000
1013,Russia,20,2021-07-05 01:10:24.000000000
1031,Finland,39,2022-01-06 06:52:42.000000000
1026,Indonesia,14,2017-11-10 08:48:25.000000000
1029,China,24,2023-10-10 03:51:20.000000000
1034,Ukraine,19,2017-09-08 00:50:55.000000000
1001,Indonesia,12,2017-11-21 06:19:29.000000000
1024,Czech Republic,25,2017-07-12 16:32:23.000000000
1009,Peru,32,2021-06-02 14:33:48.000000000
1023,Russia,9,2018-07-23 16:52:58.000000000
1030,Madagascar,14,2020-03-16 14:08:18.000000000
1024,Sweden,18,2021-12-22 05:40:17.000000000
1002,Japan,39,2017-03-27 15:48:23.000000000
1035,China,37,2020-04-06 04:11:34.000000000
1035,Indonesia,17,2017-07-23 20:47:46.000000000
1027,Colombia,22,2020-05-25 10:44:12.000000000
1013,Croatia,9,2020-12-18 00:28:15.000000000
1025,China,20,2015-07-24 08:22:27.000000000
1017,Indonesia,31,2015-06-17 16:11:30.000000000
1035,China,39,2021-11-01 12:13:11.000000000
1030,Indonesia,39,2017-07-16 22:04:35.000000000
1032,Russia,6,2023-01-19 14:06:34.000000000
1014,Philippines,13,2015-09-29 00:58:45.000000000
1035,Belarus,45,2021-08-29 04:02:35.000000000
1026,China,11,2020-03-11 12:50:19.000000000
1031,Brazil,4,2023-09-10 14:21:02.000000000
1021,Indonesia,44,2022-12-31 15:19:06.000000000
1020,Mexico,7,2018-09-21 04:58:55.000000000
1021,Indonesia,30,2017-01-14 07:08:52.000000000
1035,China,38,2021-09-04 05:58:11.000000000
1009,Malaysia,45,2020-06-01 02:50:33.000000000
1026,Uganda,1,2021-07-28 13:17:47.000000000
1022,China,32,2022-04-30 03:43:52.000000000
1028,Portugal,17,2023-02-11 02:36:41.000000000
1014,Poland,1,2021-02-03 20:46:20.000000000
1031,Indonesia,23,2015-11-28 14:50:25.000000000
1022,Slovenia,42,2018-09-01 16:29:28.000000000
1005,Bulgaria,44,2022-01-14 14:44:27.000000000
1003,Japan,23,2020-09-09 17:24:00.000000000
1031,China,46,2023-04-12 11:22:10.000000000
1000,Honduras,6,2020-09-14 02:30:33.000000000
1035,Argentina,19,2022-04-13 22:10:12.000000000
1031,China,46,2018-06-19 19:19:27.000000000
1035,Russia,19,2020-07-02 10:53:55.000000000
1022,Poland,8,2022-04-22 04:46:51.000000000
1004,Philippines,15,2019-10-19 05:13:19.000000000
1003,Ireland,35,2016-08-13 15:18:36.000000000
1014,Canada,5,2023-12-22 05:13:35.000000000
1026,Brazil,25,2022-08-02 23:31:56.000000000
1009,Indonesia,31,2017-02-24 12:00:11.000000000
1032,Portugal,9,2017-12-08 21:08:42.000000000
1024,China,30,2024-02-19 23:40:23.000000000
1034,China,25,2016-01-14 15:16:06.000000000
1003,Nigeria,35,2022-07-12 13:29:48.000000000
1008,Morocco,13,2017-03-01 03:22:25.000000000
1011,Vanuatu,22,2019-01-04 20:55:06.000000000
1024,Bulgaria,24,2016-01-29 01:59:48.000000000
1021,China,4,2017-03-29 11:49:49.000000000
1012,Brazil,2,2021-04-01 06:02:33.000000000
1033,Philippines,26,2018-08-23 20:28:57.000000000
1021,Niger,30,2021-04-27 14:21:50.000000000
1032,Belgium,9,2016-04-28 07:57:21.000000000
1025,Czech Republic,34,2017-08-30 08:07:17.000000000
1033,Finland,4,2022-03-06 18:24:30.000000000
1026,Colombia,32,2019-03-08 10:27:12.000000000
1004,China,1,2018-02-06 12:24:06.000000000
1016,Philippines,23,2018-11-04 06:19:43.000000000
1028,Peru,2,2020-10-19 19:15:16.000000000
1006,Brazil,30,2019-01-12 05:53:47.000000000
1005,Poland,41,2020-09-30 09:09:22.000000000
1000,China,34,2023-07-04 00:28:39.000000000
1004,Norway,32,2023-09-16 06:35:29.000000000
1027,Indonesia,5,2019-05-20 06:47:50.000000000
1009,China,23,2020-09-06 23:41:19.000000000
1027,China,38,2022-02-17 09:15:58.000000000
1007,Nigeria,17,2019-07-02 05:11:34.000000000
1002,Indonesia,15,2023-07-21 13:54:12.000000000
1006,Ethiopia,13,2017-08-20 13:53:23.000000000
1003,Thailand,7,2019-01-26 05:55:55.000000000
1026,Hungary,17,2023-02-10 06:09:24.000000000
1033,Indonesia,19,2016-05-09 13:28:06.000000000
1003,Bermuda,3,2016-12-12 08:13:59.000000000
1017,Indonesia,47,2016-12-15 20:59:37.000000000
1028,Canada,44,2022-01-27 13:12:10.000000000
1026,Indonesia,48,2017-01-13 05:23:53.000000000
1031,Canada,4,2022-09-14 21:07:29.000000000
1030,Sweden,33,2016-03-18 21:28:36.000000000
1018,Colombia,10,2022-11-29 19:52:46.000000000
1018,China,42,2018-08-01 04:27:18.000000000
1031,China,25,2017-06-10 21:42:14.000000000
1021,Ukraine,19,2019-07-06 09:57:15.000000000
1034,France,17,2024-01-03 12:07:32.000000000
1006,Indonesia,28,2016-01-22 14:06:54.000000000
1027,China,14,2023-08-16 23:54:16.000000000
1032,China,22,2016-05-30 00:49:17.000000000
1020,Mexico,39,2023-12-31 11:31:00.000000000
1010,Indonesia,44,2019-06-21 07:21:05.000000000
1007,Nigeria,43,2017-09-13 23:48:37.000000000
1000,China,21,2020-04-03 11:35:58.000000000
1008,China,17,2021-05-17 01:10:14.000000000
1019,Nigeria,26,2019-04-26 16:31:38.000000000
1007,China,45,2016-03-20 10:31:21.000000000
1028,Brazil,36,2015-11-21 21:42:13.000000000
1017,Indonesia,29,2022-02-08 15:45:56.000000000
1035,Russia,48,2022-07-21 05:36:50.000000000
1030,Azerbaijan,6,2019-07-19 13:46:44.000000000
1028,Lebanon,9,2020-08-29 16:08:50.000000000
1010,Afghanistan,20,2017-03-05 17:33:23.000000000
1022,Portugal,9,2015-06-05 07:46:03.000000000
1028,Vietnam,4,2019-05-08 03:52:24.000000000
1025,Argentina,35,2016-10-09 07:55:24.000000000
1009,China,45,2016-04-18 03:42:48.000000000
1007,Democratic Republic of the Congo,36,2023-10-08 20:35:23.000000000
1012,Russia,20,2020-06-21 12:34:26.000000000
1026,China,14,2017-05-21 10:53:34.000000000
1034,Trinidad and Tobago,13,2016-10-06 20:46:39.000000000
1031,Armenia,41,2015-05-21 19:24:16.000000000
1018,Macedonia,22,2020-10-17 05:18:14.000000000
1027,China,8,2016-05-22 18:21:21.000000000
1030,Russia,22,2015-09-19 08:47:36.000000000
1016,Canada,33,2023-01-12 02:56:16.000000000
1023,Indonesia,12,2019-03-15 22:49:54.000000000
1008,Russia,3,2016-06-03 14:17:38.000000000
1013,Armenia,32,2016-04-13 06:33:56.000000000
1025,China,23,2021-07-29 02:02:27.000000000
1014,Japan,22,2023-11-01 14:05:54.000000000
1033,Argentina,16,2018-12-23 09:10:31.000000000
1015,Peru,25,2015-07-07 17:10:23.000000000
1010,China,35,2018-05-29 05:42:56.000000000
1030,Lithuania,32,2018-09-17 14:19:52.000000000
1028,Philippines,11,2020-12-23 11:59:53.000000000
1004,Colombia,38,2020-09-12 12:28:18.000000000
1015,Slovenia,7,2017-09-10 04:27:07.000000000
1006,Chile,8,2015-07-31 20:32:25.000000000
1007,Albania,3,2018-06-01 02:04:31.000000000
1003,Ukraine,46,2021-12-26 17:42:24.000000000
1008,Indonesia,19,2016-12-11 14:51:46.000000000
1023,Indonesia,10,2016-10-23 09:02:44.000000000
1023,France,21,2022-06-09 00:26:42.000000000
1008,Pakistan,35,2015-07-22 15:57:09.000000000
1020,United Kingdom,9,2023-08-22 02:34:37.000000000
1010,Sweden,4,2019-03-19 06:50:22.000000000
1033,Portugal,43,2015-04-19 13:56:53.000000000
1002,Vietnam,22,2019-09-21 09:40:44.000000000
1031,Indonesia,9,2017-12-27 22:15:58.000000000
1015,Brazil,14,2015-07-17 00:56:29.000000000
1008,Aruba,11,2019-09-27 12:12:38.000000000
1029,Indonesia,30,2016-04-28 10:19:27.000000000
1019,China,41,2020-02-08 21:49:40.000000000
1029,Portugal,22,2019-10-27 08:43:36.000000000
1017,China,48,2017-02-01 00:08:04.000000000
1000,Brazil,16,2023-10-20 06:52:01.000000000
1034,Indonesia,48,2020-04-22 21:19:08.000000000
1033,Sierra Leone,2,2016-08-24 16:13:24.000000000
1018,Colombia,43,2020-02-28 17:22:41.000000000
1006,Cameroon,16,2016-05-25 16:04:27.000000000
1026,China,4,2019-05-31 21:42:11.000000000
1021,Indonesia,47,2019-12-29 16:32:10.000000000
1031,Mexico,30,2022-11-01 17:32:25.000000000
1000,Fiji,44,2024-02-07 11:50:49.000000000
1034,Russia,5,2020-08-21 01:51:56.000000000
1026,China,28,2021-07-31 20:24:48.000000000
1011,Cuba,43,2020-12-31 19:54:47.000000000
1022,Indonesia,34,2018-06-01 20:19:18.000000000
